updateDate,code,code_name
2023-03-20,sh.600006,东风汽车
2023-03-20,sh.600008,首创环保
2023-03-20,sh.600021,上海电力
2023-03-20,sh.600022,山东钢铁
2023-03-20,sh.600026,中远海能
2023-03-20,sh.600027,华电国际
2023-03-20,sh.600032,浙江新能
2023-03-20,sh.600038,中直股份
2023-03-20,sh.600056,中国医药
2023-03-20,sh.600060,海信视像
2023-03-20,sh.600062,华润双鹤
2023-03-20,sh.600064,南京高科
2023-03-20,sh.600066,宇通客车
2023-03-20,sh.600079,人福医药
2023-03-20,sh.600095,湘财股份
2023-03-20,sh.600096,云天化
2023-03-20,sh.600109,国金证券
2023-03-20,sh.600118,中国卫星
2023-03-20,sh.600126,杭钢股份
2023-03-20,sh.600131,国网信通
2023-03-20,sh.600141,兴发集团
2023-03-20,sh.600143,金发科技
2023-03-20,sh.600153,建发股份
2023-03-20,sh.600155,华创阳安
2023-03-20,sh.600157,永泰能源
2023-03-20,sh.600160,巨化股份
2023-03-20,sh.600161,天坛生物
2023-03-20,sh.600166,福田汽车
2023-03-20,sh.600167,联美控股
2023-03-20,sh.600170,上海建工
2023-03-20,sh.600171,上海贝岭
2023-03-20,sh.600177,雅戈尔
2023-03-20,sh.600195,中牧股份
2023-03-20,sh.600201,生物股份
2023-03-20,sh.600208,新湖中宝
2023-03-20,sh.600216,浙江医药
2023-03-20,sh.600258,首旅酒店
2023-03-20,sh.600259,广晟有色
2023-03-20,sh.600271,航天信息
2023-03-20,sh.600282,南钢股份
2023-03-20,sh.600297,广汇汽车
2023-03-20,sh.600298,安琪酵母
2023-03-20,sh.600299,安迪苏
2023-03-20,sh.600307,酒钢宏兴
2023-03-20,sh.600315,上海家化
2023-03-20,sh.600316,洪都航空
2023-03-20,sh.600325,华发股份
2023-03-20,sh.600329,达仁堂
2023-03-20,sh.600339,中油工程
2023-03-20,sh.600348,华阳股份
2023-03-20,sh.600350,山东高速
2023-03-20,sh.600352,浙江龙盛
2023-03-20,sh.600369,西南证券
2023-03-20,sh.600372,中航电子
2023-03-20,sh.600373,中文传媒
2023-03-20,sh.600376,首开股份
2023-03-20,sh.600377,宁沪高速
2023-03-20,sh.600378,昊华科技
2023-03-20,sh.600380,健康元
2023-03-20,sh.600390,五矿资本
2023-03-20,sh.600392,盛和资源
2023-03-20,sh.600398,海澜之家
2023-03-20,sh.600399,抚顺特钢
2023-03-20,sh.600409,三友化工
2023-03-20,sh.600415,小商品城
2023-03-20,sh.600418,江淮汽车
2023-03-20,sh.600435,北方导航
2023-03-20,sh.600482,中国动力
2023-03-20,sh.600486,扬农化工
2023-03-20,sh.600487,亨通光电
2023-03-20,sh.600489,中金黄金
2023-03-20,sh.600497,驰宏锌锗
2023-03-20,sh.600498,烽火通信
2023-03-20,sh.600499,科达制造
2023-03-20,sh.600500,中化国际
2023-03-20,sh.600507,方大特钢
2023-03-20,sh.600511,国药股份
2023-03-20,sh.600516,方大炭素
2023-03-20,sh.600517,国网英大
2023-03-20,sh.600521,华海药业
2023-03-20,sh.600528,中铁工业
2023-03-20,sh.600529,山东药玻
2023-03-20,sh.600535,天士力
2023-03-20,sh.600536,中国软件
2023-03-20,sh.600546,山煤国际
2023-03-20,sh.600549,厦门钨业
2023-03-20,sh.600556,天下秀
2023-03-20,sh.600563,法拉电子
2023-03-20,sh.600566,济川药业
2023-03-20,sh.600567,山鹰国际
2023-03-20,sh.600580,卧龙电驱
2023-03-20,sh.600582,天地科技
2023-03-20,sh.600597,光明乳业
2023-03-20,sh.600598,北大荒
2023-03-20,sh.600623,华谊集团
2023-03-20,sh.600637,东方明珠
2023-03-20,sh.600642,申能股份
2023-03-20,sh.600648,外高桥
2023-03-20,sh.600655,豫园股份
2023-03-20,sh.600663,陆家嘴
2023-03-20,sh.600667,太极实业
2023-03-20,sh.600673,东阳光
2023-03-20,sh.600699,均胜电子
2023-03-20,sh.600704,物产中大
2023-03-20,sh.600705,中航产融
2023-03-20,sh.600707,彩虹股份
2023-03-20,sh.600718,东软集团
2023-03-20,sh.600728,佳都科技
2023-03-20,sh.600737,中粮糖业
2023-03-20,sh.600739,辽宁成大
2023-03-20,sh.600755,厦门国贸
2023-03-20,sh.600764,中国海防
2023-03-20,sh.600765,中航重机
2023-03-20,sh.600782,新钢股份
2023-03-20,sh.600787,中储股份
2023-03-20,sh.600801,华新水泥
2023-03-20,sh.600808,马钢股份
2023-03-20,sh.600820,隧道股份
2023-03-20,sh.600827,百联股份
2023-03-20,sh.600839,四川长虹
2023-03-20,sh.600848,上海临港
2023-03-20,sh.600859,王府井
2023-03-20,sh.600862,中航高科
2023-03-20,sh.600863,内蒙华电
2023-03-20,sh.600867,通化东宝
2023-03-20,sh.600871,石化油服
2023-03-20,sh.600873,梅花生物
2023-03-20,sh.600879,航天电子
2023-03-20,sh.600885,宏发股份
2023-03-20,sh.600895,张江高科
2023-03-20,sh.600901,江苏金租
2023-03-20,sh.600906,财达证券
2023-03-20,sh.600909,华安证券
2023-03-20,sh.600917,重庆燃气
2023-03-20,sh.600927,永安期货
2023-03-20,sh.600928,西安银行
2023-03-20,sh.600956,新天绿能
2023-03-20,sh.600959,江苏有线
2023-03-20,sh.600967,内蒙一机
2023-03-20,sh.600968,海油发展
2023-03-20,sh.600970,中材国际
2023-03-20,sh.600985,淮北矿业
2023-03-20,sh.600988,赤峰黄金
2023-03-20,sh.600998,九州通
2023-03-20,sh.601000,唐山港
2023-03-20,sh.601005,重庆钢铁
2023-03-20,sh.601016,节能风电
2023-03-20,sh.601058,赛轮轮胎
2023-03-20,sh.601077,渝农商行
2023-03-20,sh.601098,中南传媒
2023-03-20,sh.601106,中国一重
2023-03-20,sh.601108,财通证券
2023-03-20,sh.601118,海南橡胶
2023-03-20,sh.601128,常熟银行
2023-03-20,sh.601139,深圳燃气
2023-03-20,sh.601156,东航物流
2023-03-20,sh.601158,重庆水务
2023-03-20,sh.601162,天风证券
2023-03-20,sh.601168,西部矿业
2023-03-20,sh.601179,中国西电
2023-03-20,sh.601187,厦门银行
2023-03-20,sh.601198,东兴证券
2023-03-20,sh.601228,广州港
2023-03-20,sh.601231,环旭电子
2023-03-20,sh.601233,桐昆股份
2023-03-20,sh.601298,青岛港
2023-03-20,sh.601333,广深铁路
2023-03-20,sh.601456,国联证券
2023-03-20,sh.601555,东吴证券
2023-03-20,sh.601568,北元集团
2023-03-20,sh.601577,长沙银行
2023-03-20,sh.601598,中国外运
2023-03-20,sh.601607,上海医药
2023-03-20,sh.601608,中信重工
2023-03-20,sh.601611,中国核建
2023-03-20,sh.601636,旗滨集团
2023-03-20,sh.601665,齐鲁银行
2023-03-20,sh.601666,平煤股份
2023-03-20,sh.601696,中银证券
2023-03-20,sh.601699,潞安环能
2023-03-20,sh.601717,郑煤机
2023-03-20,sh.601718,际华集团
2023-03-20,sh.601778,晶科科技
2023-03-20,sh.601828,美凯龙
2023-03-20,sh.601866,中远海发
2023-03-20,sh.601869,长飞光纤
2023-03-20,sh.601872,招商轮船
2023-03-20,sh.601880,辽港股份
2023-03-20,sh.601928,凤凰传媒
2023-03-20,sh.601958,金钼股份
2023-03-20,sh.601969,海南矿业
2023-03-20,sh.601990,南京证券
2023-03-20,sh.601991,大唐发电
2023-03-20,sh.601992,金隅集团
2023-03-20,sh.601997,贵阳银行
2023-03-20,sh.603000,人民网
2023-03-20,sh.603026,胜华新材
2023-03-20,sh.603056,德邦股份
2023-03-20,sh.603077,和邦生物
2023-03-20,sh.603127,昭衍新药
2023-03-20,sh.603156,养元饮品
2023-03-20,sh.603160,汇顶科技
2023-03-20,sh.603218,日月股份
2023-03-20,sh.603225,新凤鸣
2023-03-20,sh.603228,景旺电子
2023-03-20,sh.603233,大参林
2023-03-20,sh.603267,鸿远电子
2023-03-20,sh.603317,天味食品
2023-03-20,sh.603345,安井食品
2023-03-20,sh.603355,莱克电气
2023-03-20,sh.603379,三美股份
2023-03-20,sh.603444,吉比特
2023-03-20,sh.603456,九洲药业
2023-03-20,sh.603517,绝味食品
2023-03-20,sh.603568,伟明环保
2023-03-20,sh.603589,口子窖
2023-03-20,sh.603596,伯特利
2023-03-20,sh.603605,珀莱雅
2023-03-20,sh.603606,东方电缆
2023-03-20,sh.603613,国联股份
2023-03-20,sh.603638,艾迪精密
2023-03-20,sh.603650,彤程新材
2023-03-20,sh.603658,安图生物
2023-03-20,sh.603688,石英股份
2023-03-20,sh.603707,健友股份
2023-03-20,sh.603712,七一二
2023-03-20,sh.603719,良品铺子
2023-03-20,sh.603737,三棵树
2023-03-20,sh.603786,科博达
2023-03-20,sh.603816,顾家家居
2023-03-20,sh.603858,步长制药
2023-03-20,sh.603866,桃李面包
2023-03-20,sh.603868,飞科电器
2023-03-20,sh.603883,老百姓
2023-03-20,sh.603885,吉祥航空
2023-03-20,sh.603893,瑞芯微
2023-03-20,sh.603927,中科软
2023-03-20,sh.603939,益丰药房
2023-03-20,sh.605358,立昂微
2023-03-20,sh.688002,睿创微纳
2023-03-20,sh.688006,杭可科技
2023-03-20,sh.688009,中国通号
2023-03-20,sh.688029,南微医学
2023-03-20,sh.688063,派能科技
2023-03-20,sh.688088,虹软科技
2023-03-20,sh.688099,晶晨股份
2023-03-20,sh.688116,天奈科技
2023-03-20,sh.688122,西部超导
2023-03-20,sh.688185,康希诺
2023-03-20,sh.688188,柏楚电子
2023-03-20,sh.688208,道通科技
2023-03-20,sh.688256,寒武纪
2023-03-20,sh.688289,圣湘生物
2023-03-20,sh.688301,奕瑞科技
2023-03-20,sh.688385,复旦微电
2023-03-20,sh.688390,固德威
2023-03-20,sh.688521,芯原股份
2023-03-20,sh.688538,和辉光电
2023-03-20,sh.688567,孚能科技
2023-03-20,sh.688690,纳微科技
2023-03-20,sh.688772,珠海冠宇
2023-03-20,sh.688777,中控技术
2023-03-20,sh.688779,长远锂科
2023-03-20,sh.688819,天能股份
2023-03-20,sh.689009,九号公司
2023-03-20,sz.000009,中国宝安
2023-03-20,sz.000012,南玻A
2023-03-20,sz.000021,深科技
2023-03-20,sz.000027,深圳能源
2023-03-20,sz.000031,大悦城
2023-03-20,sz.000039,中集集团
2023-03-20,sz.000050,深天马A
2023-03-20,sz.000060,中金岭南
2023-03-20,sz.000062,深圳华强
2023-03-20,sz.000089,深圳机场
2023-03-20,sz.000155,川能动力
2023-03-20,sz.000156,华数传媒
2023-03-20,sz.000400,许继电气
2023-03-20,sz.000401,冀东水泥
2023-03-20,sz.000402,金融街
2023-03-20,sz.000415,渤海租赁
2023-03-20,sz.000513,丽珠集团
2023-03-20,sz.000519,中兵红箭
2023-03-20,sz.000537,广宇发展
2023-03-20,sz.000540,中天金融
2023-03-20,sz.000547,航天发展
2023-03-20,sz.000553,安道麦A
2023-03-20,sz.000559,万向钱潮
2023-03-20,sz.000563,陕国投A
2023-03-20,sz.000581,威孚高科
2023-03-20,sz.000591,太阳能
2023-03-20,sz.000598,兴蓉环境
2023-03-20,sz.000623,吉林敖东
2023-03-20,sz.000629,钒钛股份
2023-03-20,sz.000630,铜陵有色
2023-03-20,sz.000636,风华高科
2023-03-20,sz.000656,金科股份
2023-03-20,sz.000683,远兴能源
2023-03-20,sz.000703,恒逸石化
2023-03-20,sz.000709,河钢股份
2023-03-20,sz.000728,国元证券
2023-03-20,sz.000729,燕京啤酒
2023-03-20,sz.000738,航发控制
2023-03-20,sz.000739,普洛药业
2023-03-20,sz.000750,国海证券
2023-03-20,sz.000778,新兴铸管
2023-03-20,sz.000783,长江证券
2023-03-20,sz.000785,居然之家
2023-03-20,sz.000807,云铝股份
2023-03-20,sz.000825,太钢不锈
2023-03-20,sz.000830,鲁西化工
2023-03-20,sz.000831,中国稀土
2023-03-20,sz.000869,张裕A
2023-03-20,sz.000878,云南铜业
2023-03-20,sz.000883,湖北能源
2023-03-20,sz.000887,中鼎股份
2023-03-20,sz.000898,鞍钢股份
2023-03-20,sz.000930,中粮科技
2023-03-20,sz.000932,华菱钢铁
2023-03-20,sz.000937,冀中能源
2023-03-20,sz.000959,首钢股份
2023-03-20,sz.000960,锡业股份
2023-03-20,sz.000961,中南建设
2023-03-20,sz.000967,盈峰环境
2023-03-20,sz.000970,中科三环
2023-03-20,sz.000975,银泰黄金
2023-03-20,sz.000987,越秀资本
2023-03-20,sz.000988,华工科技
2023-03-20,sz.000990,诚志股份
2023-03-20,sz.000997,新大陆
2023-03-20,sz.000998,隆平高科
2023-03-20,sz.000999,华润三九
2023-03-20,sz.001203,大中矿业
2023-03-20,sz.001227,兰州银行
2023-03-20,sz.001872,招商港口
2023-03-20,sz.001914,招商积余
2023-03-20,sz.002002,鸿达兴业
2023-03-20,sz.002010,传化智联
2023-03-20,sz.002019,亿帆医药
2023-03-20,sz.002025,航天电器
2023-03-20,sz.002028,思源电气
2023-03-20,sz.002030,达安基因
2023-03-20,sz.002048,宁波华翔
2023-03-20,sz.002056,横店东磁
2023-03-20,sz.002065,东华软件
2023-03-20,sz.002078,太阳纸业
2023-03-20,sz.002080,中材科技
2023-03-20,sz.002081,金螳螂
2023-03-20,sz.002092,中泰化学
2023-03-20,sz.002110,三钢闽光
2023-03-20,sz.002124,天邦食品
2023-03-20,sz.002127,南极电商
2023-03-20,sz.002128,电投能源
2023-03-20,sz.002131,利欧股份
2023-03-20,sz.002138,顺络电子
2023-03-20,sz.002146,荣盛发展
2023-03-20,sz.002152,广电运通
2023-03-20,sz.002153,石基信息
2023-03-20,sz.002155,湖南黄金
2023-03-20,sz.002156,通富微电
2023-03-20,sz.002183,怡亚通
2023-03-20,sz.002185,华天科技
2023-03-20,sz.002191,劲嘉股份
2023-03-20,sz.002192,融捷股份
2023-03-20,sz.002195,二三四五
2023-03-20,sz.002203,海亮股份
2023-03-20,sz.002212,天融信
2023-03-20,sz.002221,东华能源
2023-03-20,sz.002223,鱼跃医疗
2023-03-20,sz.002242,九阳股份
2023-03-20,sz.002244,滨江集团
2023-03-20,sz.002249,大洋电机
2023-03-20,sz.002250,联化科技
2023-03-20,sz.002266,浙富控股
2023-03-20,sz.002268,电科网安
2023-03-20,sz.002273,水晶光电
2023-03-20,sz.002281,光迅科技
2023-03-20,sz.002294,信立泰
2023-03-20,sz.002299,圣农发展
2023-03-20,sz.002326,永太科技
2023-03-20,sz.002340,格林美
2023-03-20,sz.002353,杰瑞股份
2023-03-20,sz.002368,太极股份
2023-03-20,sz.002372,伟星新材
2023-03-20,sz.002373,千方科技
2023-03-20,sz.002384,东山精密
2023-03-20,sz.002385,大北农
2023-03-20,sz.002396,星网锐捷
2023-03-20,sz.002399,海普瑞
2023-03-20,sz.002407,多氟多
2023-03-20,sz.002408,齐翔腾达
2023-03-20,sz.002409,雅克科技
2023-03-20,sz.002416,爱施德
2023-03-20,sz.002422,科伦药业
2023-03-20,sz.002423,中粮资本
2023-03-20,sz.002429,兆驰股份
2023-03-20,sz.002430,杭氧股份
2023-03-20,sz.002434,万里扬
2023-03-20,sz.002439,启明星辰
2023-03-20,sz.002444,巨星科技
2023-03-20,sz.002465,海格通信
2023-03-20,sz.002468,申通快递
2023-03-20,sz.002497,雅化集团
2023-03-20,sz.002500,山西证券
2023-03-20,sz.002505,鹏都农牧
2023-03-20,sz.002506,协鑫集成
2023-03-20,sz.002507,涪陵榨菜
2023-03-20,sz.002508,老板电器
2023-03-20,sz.002511,中顺洁柔
2023-03-20,sz.002531,天顺风能
2023-03-20,sz.002532,天山铝业
2023-03-20,sz.002557,洽洽食品
2023-03-20,sz.002563,森马服饰
2023-03-20,sz.002568,百润股份
2023-03-20,sz.002572,索菲亚
2023-03-20,sz.002595,豪迈科技
2023-03-20,sz.002603,以岭药业
2023-03-20,sz.002624,完美世界
2023-03-20,sz.002625,光启技术
2023-03-20,sz.002653,海思科
2023-03-20,sz.002670,国盛金控
2023-03-20,sz.002673,西部证券
2023-03-20,sz.002683,广东宏大
2023-03-20,sz.002690,美亚光电
2023-03-20,sz.002701,奥瑞金
2023-03-20,sz.002705,新宝股份
2023-03-20,sz.002738,中矿资源
2023-03-20,sz.002739,万达电影
2023-03-20,sz.002745,木林森
2023-03-20,sz.002797,第一创业
2023-03-20,sz.002831,裕同科技
2023-03-20,sz.002850,科达利
2023-03-20,sz.002867,周大生
2023-03-20,sz.002901,大博医疗
2023-03-20,sz.002925,盈趣科技
2023-03-20,sz.002926,华西证券
2023-03-20,sz.002936,郑州银行
2023-03-20,sz.002939,长城证券
2023-03-20,sz.002945,华林证券
2023-03-20,sz.002948,青岛银行
2023-03-20,sz.002958,青农商行
2023-03-20,sz.002966,苏州银行
2023-03-20,sz.002985,北摩高科
2023-03-20,sz.003035,南网能源
2023-03-20,sz.300001,特锐德
2023-03-20,sz.300003,乐普医疗
2023-03-20,sz.300009,安科生物
2023-03-20,sz.300012,华测检测
2023-03-20,sz.300017,网宿科技
2023-03-20,sz.300024,机器人
2023-03-20,sz.300026,红日药业
2023-03-20,sz.300037,新宙邦
2023-03-20,sz.300058,蓝色光标
2023-03-20,sz.300070,碧水源
2023-03-20,sz.300072,海新能科
2023-03-20,sz.300073,当升科技
2023-03-20,sz.300088,长信科技
2023-03-20,sz.300115,长盈精密
2023-03-20,sz.300136,信维通信
2023-03-20,sz.300144,宋城演艺
2023-03-20,sz.300146,汤臣倍健
2023-03-20,sz.300168,万达信息
2023-03-20,sz.300182,捷成股份
2023-03-20,sz.300212,易华录
2023-03-20,sz.300244,迪安诊断
2023-03-20,sz.300251,光线传媒
2023-03-20,sz.300253,卫宁健康
2023-03-20,sz.300257,开山股份
2023-03-20,sz.300285,国瓷材料
2023-03-20,sz.300296,利亚德
2023-03-20,sz.300308,中际旭创
2023-03-20,sz.300357,我武生物
2023-03-20,sz.300363,博腾股份
2023-03-20,sz.300373,扬杰科技
2023-03-20,sz.300376,易事特
2023-03-20,sz.300383,光环新网
2023-03-20,sz.300390,天华超净
2023-03-20,sz.300418,昆仑万维
2023-03-20,sz.300463,迈克生物
2023-03-20,sz.300474,景嘉微
2023-03-20,sz.300482,万孚生物
2023-03-20,sz.300558,贝达药业
2023-03-20,sz.300568,星源材质
2023-03-20,sz.300604,长川科技
2023-03-20,sz.300618,寒锐钴业
2023-03-20,sz.300630,普利制药
2023-03-20,sz.300676,华大基因
2023-03-20,sz.300677,英科医疗
2023-03-20,sz.300682,朗新科技
2023-03-20,sz.300699,光威复材
2023-03-20,sz.300724,捷佳伟创
2023-03-20,sz.300741,华宝股份
2023-03-20,sz.300776,帝尔激光
2023-03-20,sz.300832,新产业
2023-03-20,sz.300850,新强联
2023-03-20,sz.300861,美畅股份
2023-03-20,sz.300866,安克创新
2023-03-20,sz.300869,康泰医学
2023-03-20,sz.300888,稳健医疗
2023-03-20,sz.301029,怡合达
